filename	year	token	sentence	context
195315.xml	1953	Erzählers	Der Roman ist dann trotzdem der Roman dieser Gestalten , und eine noch so eifrige Einmischung des Erzählers - etwa in der älteren Weise mit Anreden des „ lieben Lesers “ u. dgl. -verwandelt ihre fiktive „ Gegenwart “ nicht mehr in eine echte Vergangenheit des Autors .	Diese drei verschiedenen Beispiele für das Verhältnis der echten und der fiktiven Ich-Origenes werfen also ein Licht auf das Geheimnis des Präteritums in der im genauen dichtungstheoretischen Sinne verstandenen Erzählung . Es verliert seine eigentliche vergangenheitsaussagende Funktion , sobald die fiktiven Subjekte die Szene beherrschen ) Denn sind diese einmal erschienen , geben sie sozusagen ihre Herrschaft nicht wieder auf , und zwar auch dann nicht , wenn sie zeitweise wieder von Schauplatze abtreten und reinen Milieuschilderungen Raum geben . Das heißt : in der Erzählung waltet keine Zeit , die sich in irgend einer Weise auf diesen ( und mit ihm den Leser ) bezöge . Es ist eine fiktive Zeit , nur gebunden an die fiktive Geschichte der Gestalten und ohne Bezug auf die wirkliche Existenz des Autors oder des Lesers .
195315.xml	1953	Erzählers	Die verwickelte semantische Struktur dieses des „ reproduzierenden “ Präsens wird sich aus weiter unten zu erörternden Zusammenhängen erschließen . 3. Das Problem des epischen Präteritums ist also in dem der Fiktion fundiert , die ihrerseits dadurch konstituiert ist , daß die Ich-Origo des Erzählers , das Erzähler-Ich , seine Befugnisse sozusagen an die fiktiven Ich-Origi- . nes der Gestalten abtritt .	Ja , es mögen in einem historischen oder auch einem anderen Roman Daten angegeben sein - sie haben so wenig wie das „ heute , gestern und morgen “ eine auf Verfasser und Leser bezogene existentielle Zeitbedeutung , sind in keinem Falle Daten seiner Vergangenheit . Und es mag als ein sprachliches Indizium für diese Erscheinung gelten , daß ich in der Wiedergabe und Analyse eines noch so historischen Romans das Präsens und nicht das Imperfekt verwende . Es verschwindet zwar nicht wie im Drama der < v'v Erzähler aus der Dichtung , wohl aber das Erzähler-Ich , und dies , wie nochmais verdeutlicht sei , nicht in seiner erzählenden Funktion , aber in seiner realen zeiträumlichen Existenz . Die semantische Beschaffenheit der Fiktion und damit des epischen Präteritums zeichnet sich nun noch deutlicher ab , wenn wir nicht nur die sprachlichen Erscheinungen der Zeit- sondern auch die der Raumdarstellung prüfen .
195315.xml	1953	Erzähler	Es verschwindet zwar nicht wie im Drama der < v'v Erzähler aus der Dichtung , wohl aber das Erzähler-Ich , und dies , wie nochmais verdeutlicht sei , nicht in seiner erzählenden Funktion , aber in seiner realen zeiträumlichen Existenz .	"Und es mag als ein sprachliches Indizium für diese Erscheinung gelten , daß ich in der Wiedergabe und Analyse eines noch so historischen Romans das Präsens und nicht das Imperfekt verwende . Die verwickelte semantische Struktur dieses des „ reproduzierenden “ Präsens wird sich aus weiter unten zu erörternden Zusammenhängen erschließen . 3. Das Problem des epischen Präteritums ist also in dem der Fiktion fundiert , die ihrerseits dadurch konstituiert ist , daß die Ich-Origo des Erzählers , das Erzähler-Ich , seine Befugnisse sozusagen an die fiktiven Ich-Origi- . nes der Gestalten abtritt . Die semantische Beschaffenheit der Fiktion und damit des epischen Präteritums zeichnet sich nun noch deutlicher ab , wenn wir nicht nur die sprachlichen Erscheinungen der Zeit- sondern auch die der Raumdarstellung prüfen . Dies aber soll geschehen in der Auseinandersetzung mit dem bedeutenden Spraehtheoretiker , der , vornehmlich mit Hilfe der räumlichen Adverbien , auch die Gesetze der epischen und dramatischen Darstellung zu beschreiben versucht hat , mi t Karl B ühler . | 7fuch Bühler will in seiner "" Sp rachtheorie * ( 1930 ) das Problem des Xan-schaulichen Erzählens , der , , Deixis am Phantasma “ , durch dasjenige der Ich-Origo , genauer der , , Origo des Jetzt-Hier-Ich-Systems “ erhellen ."
195315.xml	1953	Erzählers	Sowohl das „ Dort “ wie das „ Hier “ sind in einer Fiktion auf die fi ktiv en Ges talten bezogen , und n ic ht au f das reale Ich des Erzählers und Lesers .	Denn eben diese beiden Vorgänge werden hier vermengt , indem mit der Vorstellung „ Rom “ ein realer Ort gedeckt ist , an den ein jeder sich in Gedanken versetzen kann , dieser reale Ort aber wiederum als „ Ort “ der Romangestalt für jegliche „ Versetzung “ irrelevant ist . Heißt es an der von Bühler gedachten Romanstelle dort statt hier , so bedeutet das keineswegs , daß ich , Mohammed ( der Autor resp. der Leser ) , von meinem „ Hier “ aus an ein „ Dort “ denke , so wenig wie das „ Hier “ besagt , daß ich mich „ dorthin “ , nämlich zum Romanhelden , versetze . Diese Verhältnisse treten deutlicher hervor , * wenn statt eines auch in der Realität vorhandenen Ortes irgend ein erfundener Ort gewählt wird , in bezug auf welchen ein „ Hier “ o'der „ Dort “ als Raumbeziehung zwischen meiner realen Existenz und der fiktiven Örtlichkeit sinnlos wird . Ich „ versetze “ mich ni cht in den Raum und die Zeit der fiktiven Gestalten , sondern beziehe die Rau m- und Z eitangaben der Erzäh-lungjauf sie .
195315.xml	1953	Erzähler	Mit den Worten , , linker Hand von dem Eintretenden ‘ v wendet sich der Erzähler an eine gedachte , aber nicht fiktive Person , sei es sich selbst oder den Leser , ja darüber hinaus an jeden der in das Zimmer eintretend gedacht werden kann , derart daß die reale Ich-Origo des jeweiligen Lesers aufgerufen wird und er sich an Hand seines „ Körpertastbildes “ eine Vorstellung von den Verhältnissen dieses Zimmers machen kann .	Diese Beschreibung ist , obwohl sie in einem Roman steht , der sich durch das Auftreten der Romangestalten bereits als solcher ausgewiesen hat , eine Realbeschreibung , und sie könnte auch als solche aufgefaßt werden , wenn man nicht zufällig wüßte , daß Thomas Mann hier sein Familienhaus beschrieben hat . Es ist ein rein sprachliches , im weiteren Sinne strukturelles Indizium , das diese Beschreibung unabhängig von den Romanpersonen , geradezu zu einer „ Bädekerangabe “ macht . Wenn wir nun aber unser Experiment anstellen und die Worte „ des Eintretenden “ mit „ der Konsulin Buddenbrook “ ersetzen , so können wir diese Orientierung durchaus nicht mehr vornehmen . Die Angabe „ linker Hand von der Konsulin Buddenbrook “ , die auf dem gradlinigen Sofa neben ihrer Schwiegermutter sitzend beschrieben wird , ist durch das Körpertastbild des Lesers nicht verifizierbar .
195315.xml	1953	Erzählers	In der Fiktion verlieren diese deiktischen Wörter ihre deiktische , existentielle Funktion und werden zu Symbolen , in denen die räumliche resp. zeitliche Anschauung zu Begriffen verblaßt ist . 4. Zur Erhellung des Präteritumproblems war diese Abschweifung zur Baumkoordinate des Ich-Systems notwendig , weil sich auch von dieser her erwies , daß die Struktur der Fiktion durch das Verschwinden der realen Ich-Origo ( des Erzählers und Lesers ) bedingt ist .	Dieses Beispiel und Experiment zeigt , daß in der Tat die räumlichen Richtungsangaben in der Fiktion demselben Prozeß und Schicksal unterliegen wie in ihrer Weise die zeitlichen . Wie die hic-deiktischen Wörter hier , da , links , rechts sich nicht mehr auf irgend eine reale Ich-Origo beziehen , sondern auf die fiktiven , so beziehen sich auch die nunc-deiktischen Wörter heute , morgen , gestern allein auf das fiktive nunc der Gestalten . Denn eben in diesem Verschwinden erkannten wir den Grund für den Verlust der Vergangenheitsfunktion des Präteritums , zu welchem der Verlust der deiktischen Funktion der Raumund Zeitadverbien die parallele Erscheinung ist . Aber der eigentliche Beweis für das Paradoxon , daß das epische Präteritum keine Vergangenheitsaussage ist , steht noch aus .
195315.xml	1953	Erzählers	Der Nachweis des Verschwindens der Ich-Origo des Erzählers aus der Fiktion erklärte nur das Erlebnis , das wir haben , wenn wir mit einer fiktiven Erzählung beschäftigt sind , das Erlebnis der „ Gegenwärtigkeit “ eines fiktiven ( d. h. nicht auf den Leser , sondern auf die Dichtungsgestalten bezogenen ) Jetzt und Hier , das sich widerspruchslos mit der imperfektischen Form des Berichtes verträgt14a .	Denn eben in diesem Verschwinden erkannten wir den Grund für den Verlust der Vergangenheitsfunktion des Präteritums , zu welchem der Verlust der deiktischen Funktion der Raumund Zeitadverbien die parallele Erscheinung ist . Aber der eigentliche Beweis für das Paradoxon , daß das epische Präteritum keine Vergangenheitsaussage ist , steht noch aus . Darüber hinaus ist aber die Frage zu stellen , ob im Gebrauch des Präteritums selbst Gründe dafür vorhanden sind , daß dieses seine Vergangenheitsfunktion verliert . Wir können nicht davon absehen , daß das Präteritum die epische Zeit--iorm ist , woran auch ein gelegentliches Präsens historicum sinngemäß nichts ändert .
195315.xml	1953	Erzähler	Denn hier ist nicht etwas so Allgemeines und fast Banales gemeint wie daß der Erzähler über der Lebhaftigkeit und Anschaulichkeit seiner Schilderung vergäße , daß die geschilderten Begebenheiten vergangen seien .	Während des Erzählens aber wird das Vergangensein dieser ; Geschehnisse vergessen . Wie und wann geschieht dies ? Sondern es handelt sich auch hier um ganz bestimmte phänomenologischerkenntnistheoretische Verhältnisse . Es sind die Verben selbst und ihre Bedeutungen , die wir ins Auge zu fassen haben .
195315.xml	1953	Erzähler	Mit ihnen kommt der Berichter realer , im weitesten Sinne „ historischer “ Umstände und Gegebenheiten aus14b , niemals aber der Erzähler im dichtungstheoretischen Sinne , der Epiker .	Rufen , gehen , nehmen , sitzen , stehen usw. sind Verben äußerer Vorgänge , die wir sozusagen von außen an den Personen feststellen können . Mit diesen Verben kann man eine reale so gut wie eine fiktive Begebenheit erzählen . Er bedarf der Verben der inneren Vorgänge wie denken , sinnen , glauben , meinen , fühlen , hoffen u. a. m. : Agamemnon , Welcher im Geist nachsann , was nie zur Vollendung bestimmt war , Denn er hoffte noch heut ‘ 14c des Priamos Stadt zu erobern . ( II. II , 35 ) 14b Es ist eine andere , für unser Problem nicht unmittelbar relevante Frage , wie sich solche äußere Vorgänge bezeichnenden Verben in historischen Kontexten verhalten und diese geradezu charakterisieren .
195315.xml	1953	Erzähler	Ich erlebe die epische Person nunmehr als sagende ebenso wie ich sie als denkende , fühlende , und das heißt : von ihr selbst her , erlebe / Der Erzähler hat hier nicht die Funktion eines die Aussage Mitteilenden .	Man muß sehr genau hinhören , um zu bemerken , daß dieselbe Form im Roman ihren Charakter verändert und sich stark den Verben der inneren Vorgänge annähert . „ Er sagte “ ist nun Ausdruck des inneren Daseins ebenso wie „ er dachte “ oder „ er fühlte “ . Der Erzähler , der Dichter teilt nicht mit , wie der Berichter und der Historiker , sondern er gestaltet Leben . Und dies ist wiederum ein anderer Ausdruck für die Tatsache , daß das Präteritum der Erzählung nicht etwas Vergangenes meint . * Die Verben des inneren Vorgangs , die also das eigentliche Indizium für das Verschwinden der imperfektischen Bedeutung des Imperfekts sind , deuten nun auch schon auf das Formproblem vornehmlich des neueren Romans hin , ! das vielleicht erstmalig die Spraehtheoretiker über die Vergangenheit der epischen Handlung hat stutzig werden lassen , flie sogenannte erlebte Rede .
195315.xml	1953	Erzähler	Der Erzähler , der Dichter teilt nicht mit , wie der Berichter und der Historiker , sondern er gestaltet Leben .	„ Er sagte “ ist nun Ausdruck des inneren Daseins ebenso wie „ er dachte “ oder „ er fühlte “ . Ich erlebe die epische Person nunmehr als sagende ebenso wie ich sie als denkende , fühlende , und das heißt : von ihr selbst her , erlebe / Der Erzähler hat hier nicht die Funktion eines die Aussage Mitteilenden . Und dies ist wiederum ein anderer Ausdruck für die Tatsache , daß das Präteritum der Erzählung nicht etwas Vergangenes meint . * Die Verben des inneren Vorgangs , die also das eigentliche Indizium für das Verschwinden der imperfektischen Bedeutung des Imperfekts sind , deuten nun auch schon auf das Formproblem vornehmlich des neueren Romans hin , ! das vielleicht erstmalig die Spraehtheoretiker über die Vergangenheit der epischen Handlung hat stutzig werden lassen , flie sogenannte erlebte Rede . Die Imperfektform dieser Wiedergabe des unformulierten Bewußtseinsstroms in der dritten Person ist den Sprach- und Dichtungstheoretikern ein Problem gewesen15 .
195315.xml	1953	Erzählers	Nur deutlicher als diese klärt sie darüber auf , daß in der Fiktion die Ich-Origo des Erzählers durch die fiktiven Ich-Origines der Gestalten ersetzt ist und die Imperfektform von Wendungen wie , , Wie herrlich war dieser blaue Himmel “ oder , , Sollte er sich so geirrt haben “ -die wir schlechterdings niemals auf reale dritte Personen ( und zwar weder im Imperfekt noch im Präsens ) anwenden können - wiederum nichts anders als eben ihr fiktives Jetzt und Hier meint !	Die logische und sprachliche Erhellung dieser Erzählform , zu der sich Ansätze schon im mittelalterlichen Epos finden18 , gelang diesen Theoretikern 'x darum nicht , weil sie weder den Unterschied zwischen Realbericht und fiktivem Erzählen noch die darin gegründete Bedeutungsveränderung des Präteritums bemerkt haben . Die erlebte Rede ist die äußerste Konsequenz der Verben der inneren Vorgänge , die sozusagen verantwortlich für diese Bedeutungsveränderung sind . Bemerkenswert ist dabei , daß in . den meisten Fällen nur die Hauptgestalt eines Romans es ist , die in den Formen der erlebten Rede dargestellt wird . Denn sie ist die Hauptgestalt eben darum , weil auf den Sinn und die Art ihrer Existenz es dem Dichter ankommt und sie deshalb durch die deutlichste Ich-Origo ausgezeichnet ist .
